"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @JAGANTRS: BJP keeps mum on Junagadh's integration
#BJP political drama at Parade grounds exposed by Telangana netizens 

#HyderabadInte…",FALSE,0,NA,2022-09-19 17:22:09,FALSE,NA,"1571912540900462592",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kembajayaprakas",89,TRUE,FALSE,NA,NA
"RT @BharatJoda: There are 543 MPs in Lok Sabha of India and 303 are BJP which means there are 240 are non #BJP MPS but bjp only targets @Ra…",FALSE,0,NA,2022-09-19 17:22:06,FALSE,NA,"1571912528485318657",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nitp",14,TRUE,FALSE,NA,NA
"RT @indiatvnews: Ex Punjab CM Captain #AmarinderSingh, once 'insulted' by #Congress, now joins #BJP

https://t.co/SvcUVSJIHB",FALSE,0,NA,2022-09-19 17:21:46,FALSE,NA,"1571912444347576320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Aman45080031",4,TRUE,FALSE,NA,NA
"RT @ms_N_S_V: #BJP @BJP4India we’ve just witnessed you’ll using 2 brutal murders for politics and no intent for justice, is it? 

Youth &amp; p…",FALSE,0,NA,2022-09-19 17:21:31,FALSE,NA,"1571912383676702727",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kushi123456",3,TRUE,FALSE,NA,NA
"There were no restrictions when you’ll spoke of the case in 2020 and demanding CBI and even after… 

What happened… https://t.co/KI7p4DQPyP",FALSE,0,"ms_N_S_V",2022-09-19 17:21:31,TRUE,"1571911855114784769","1571912383605399557","1255767391113564163","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ms_N_S_V",0,FALSE,FALSE,NA,NA
"RT @ysathishreddy: #GoMatha runs away from #BJP, 
Seems like a clear indication of something happening very soon! https://t.co/8YjLIYluNz",FALSE,0,NA,2022-09-19 17:21:26,FALSE,NA,"1571912361270996997",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kaisIrfan",88,TRUE,FALSE,NA,NA
"RT @SyedMoinBhai: Grand Welcome to @NIA_India in Nellore, #AndhraPradesh .

PFI Member:- ""During Search What u got...?""
NIA officer:- ""NOTH…",FALSE,0,NA,2022-09-19 17:21:08,FALSE,NA,"1571912287375740928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AfaqueAiyaz",189,TRUE,FALSE,NA,NA
"RT @Bhatt_sanket: No more stress &amp; burden: Maharashtra schools to end assigning homework for students,

implementation soon School educatio…",FALSE,0,NA,2022-09-19 17:21:04,FALSE,NA,"1571912267784146946",NA,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">No Conversion</a>","KattarActivist",1,TRUE,FALSE,NA,NA
"RT @ms_N_S_V: #BJP @BJP4India we’ve just witnessed you’ll using 2 brutal murders for politics and no intent for justice, is it? 

Youth &amp; p…",FALSE,0,NA,2022-09-19 17:20:59,FALSE,NA,"1571912250138697729",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SSRKaSSRian",3,TRUE,FALSE,NA,NA
"RT @ms_N_S_V: #BJP @BJP4India we’ve just witnessed you’ll using 2 brutal murders for politics and no intent for justice, is it? 

Youth &amp; p…",FALSE,0,NA,2022-09-19 17:20:59,FALSE,NA,"1571912248339070976",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Surabhi45343183",3,TRUE,FALSE,NA,NA
"RT @DeccanChronicle: Goshamahal MLA T. Raja Singh's wife Usha Bai met Governor Tamilisai Soundararajan on Sunday and sought her help to sec…",FALSE,0,NA,2022-09-19 17:20:50,FALSE,NA,"1571912209181331458",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Sanjusaand",2,TRUE,FALSE,NA,NA
"RT @ians_india: Prime Minister #NarendraModi (@narendramodi) will address a meeting of all the #BJP Mayors on Tuesday.

""At 10:30 AM tomorr…",FALSE,0,NA,2022-09-19 17:20:41,FALSE,NA,"1571912172099481606",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PavanaputraH",4,TRUE,FALSE,NA,NA
"RT @ani_digital: China is way ahead of India in weaponry, it is fault of Congress: Amarinder Singh 
    
Read @ANI Story  | https://t.co/hX…",FALSE,0,NA,2022-09-19 17:20:35,FALSE,NA,"1571912148011601920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BoseBhagatAzadd",45,TRUE,FALSE,NA,NA
"RT @ysathishreddy: #GoMatha runs away from #BJP, 
Seems like a clear indication of something happening very soon! https://t.co/8YjLIYluNz",FALSE,0,NA,2022-09-19 17:20:33,FALSE,NA,"1571912139388100614",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mujju121",88,TRUE,FALSE,NA,NA
"@ARanganathan72 India will also go down likewise if sanghi goons continue to rule for 20 years more..

#BJP… https://t.co/QcEzwJVBlI",FALSE,0,"ARanganathan72",2022-09-19 17:19:59,TRUE,"1571730503887360000","1571911997176033280","1344897174","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","R_P_Khare",0,FALSE,FALSE,NA,NA
"RT @sikhsikhsikh61: #Sikhs struggling from years now very close to their destination as they will soon get a free state #Khalistan in #Indi…",FALSE,0,NA,2022-09-19 17:19:31,FALSE,NA,"1571911880251146240",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","The_Unknown_DR",16,TRUE,FALSE,NA,NA
"RT @JAGANTRS: BJP keeps mum on Junagadh's integration
#BJP political drama at Parade grounds exposed by Telangana netizens 

#HyderabadInte…",FALSE,0,NA,2022-09-19 17:19:25,FALSE,NA,"1571911856222244864",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NageshTRS12",89,TRUE,FALSE,NA,NA
"#BJP @BJP4India we’ve just witnessed you’ll using 2 brutal murders for politics and no intent for justice, is it?… https://t.co/TrbmcLym7T",FALSE,1,NA,2022-09-19 17:19:25,TRUE,NA,"1571911855114784769",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ms_N_S_V",3,FALSE,FALSE,NA,NA
"RT @ysathishreddy: #GoMatha runs away from #BJP, 
Seems like a clear indication of something happening very soon! https://t.co/8YjLIYluNz",FALSE,0,NA,2022-09-19 17:19:22,FALSE,NA,"1571911841491853312",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Soundararajansm",88,TRUE,FALSE,NA,NA
"RT @ysathishreddy: #GoMatha runs away from #BJP, 
Seems like a clear indication of something happening very soon! https://t.co/8YjLIYluNz",FALSE,0,NA,2022-09-19 17:19:21,FALSE,NA,"1571911835892486147",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Hr1514k",88,TRUE,FALSE,NA,NA
"RT @CNNnews18: ""Upcoming elections in #Gujarat is a straight fight between the BJP and AAP, not a three cornered fight"": AAP MP and newly a…",FALSE,0,NA,2022-09-19 17:18:16,FALSE,NA,"1571911565078843392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SS_Shrawan",36,TRUE,FALSE,NA,NA
"RT @ysathishreddy: #GoMatha runs away from #BJP, 
Seems like a clear indication of something happening very soon! https://t.co/8YjLIYluNz",FALSE,0,NA,2022-09-19 17:18:15,FALSE,NA,"1571911562218344450",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Reshma_nooren",88,TRUE,FALSE,NA,NA
"RT @ysathishreddy: #GoMatha runs away from #BJP, 
Seems like a clear indication of something happening very soon! https://t.co/8YjLIYluNz",FALSE,0,NA,2022-09-19 17:18:09,FALSE,NA,"1571911536448512001",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jawedghauri",88,TRUE,FALSE,NA,NA
"RT @AitcProvat: #Kolkata 

How do Bengalis vote for #BJP is beyond me.

https://t.co/qyYLM0PKdf

He will go all out for Ram Nabami but will…",FALSE,0,NA,2022-09-19 17:18:01,FALSE,NA,"1571911502931664896",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","_ashish_somkuor",5,TRUE,FALSE,NA,NA
"RT @ani_digital: China is way ahead of India in weaponry, it is fault of Congress: Amarinder Singh 
    
Read @ANI Story  | https://t.co/hX…",FALSE,0,NA,2022-09-19 17:17:57,FALSE,NA,"1571911485923917824",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","psaurabh442",45,TRUE,FALSE,NA,NA
