"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @_tanveershaik: India will ride the rough sea of hatred, unemployment and price rise.
 We stay united, we stay anchored.

 #BharatJodoYa…",FALSE,0,NA,2022-09-19 16:59:07,FALSE,NA,"1571906745823539200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","manjanathags123",147,TRUE,FALSE,NA,NA
"RT @kcvenugopalmp: Alleppey, the Venice of the East, is always dear to my heart. When @RahulGandhi stepped into a snake boat in the picture…",FALSE,0,NA,2022-09-19 16:59:06,FALSE,NA,"1571906741729894409",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JeetBha69996241",291,TRUE,FALSE,NA,NA
"RT @RahulGandhi: When we all work together in perfect harmony, there is nothing we cannot accomplish. 

#BharatJodoYatra https://t.co/31fW5…",FALSE,0,NA,2022-09-19 16:59:06,FALSE,NA,"1571906739930542088",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SuyashS78573400",6689,TRUE,FALSE,NA,NA
"RT @INCIndia: People from different walks of life come together to walk on one path, the path of unity.

Here's their reason for joining #B…",FALSE,0,NA,2022-09-19 16:59:06,FALSE,NA,"1571906739800510467",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KhvaSharma",304,TRUE,FALSE,NA,NA
"When we all work together in perfect harmony, there is nothing we cannot accomplish. 

#BharatJodoYatra… https://t.co/FSJ5AATNxq",FALSE,0,NA,2022-09-19 16:59:05,TRUE,NA,"1571906738697244675",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hariNagaur1",0,FALSE,FALSE,NA,NA
"RT @kcvenugopalmp: Alleppey, the Venice of the East, is always dear to my heart. When @RahulGandhi stepped into a snake boat in the picture…",FALSE,0,NA,2022-09-19 16:59:05,FALSE,NA,"1571906738152173568",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HariKrishnaall",291,TRUE,FALSE,NA,NA
"RT @RahulGandhi: When we all work together in perfect harmony, there is nothing we cannot accomplish. 

#BharatJodoYatra https://t.co/31fW5…",FALSE,0,NA,2022-09-19 16:59:05,FALSE,NA,"1571906736298262529",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PrakashsinhMah3",6689,TRUE,FALSE,NA,NA
"RT @RahulGandhi: When we all work together in perfect harmony, there is nothing we cannot accomplish. 

#BharatJodoYatra https://t.co/31fW5…",FALSE,0,NA,2022-09-19 16:59:04,FALSE,NA,"1571906735111311360",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NikitajiNetaji",6689,TRUE,FALSE,NA,NA
"RT @bharatjodo: Every stride we take together is a step for a brighter India! 

#BharatJodoYatra https://t.co/DsGYTsAGxK",FALSE,0,NA,2022-09-19 16:59:03,FALSE,NA,"1571906731126706176",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","loksabha_bsp",728,TRUE,FALSE,NA,NA
"RT @RahulGandhi: When we all work together in perfect harmony, there is nothing we cannot accomplish. 

#BharatJodoYatra https://t.co/31fW5…",FALSE,0,NA,2022-09-19 16:59:03,FALSE,NA,"1571906730048512003",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ARJUNKumartha13",6689,TRUE,FALSE,NA,NA
"RT @sunmor2901: @RahulGandhi Today one can see the hope, inspiration, endless love, creativity &amp; admiration some of the most loved spirits…",FALSE,0,NA,2022-09-19 16:59:03,FALSE,NA,"1571906728182284288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","moinaltaf1973",11,TRUE,FALSE,NA,NA
"RT @RahulGandhi: When we all work together in perfect harmony, there is nothing we cannot accomplish. 

#BharatJodoYatra https://t.co/31fW5…",FALSE,0,NA,2022-09-19 16:59:03,FALSE,NA,"1571906727800635401",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SidhuJadeja",6689,TRUE,FALSE,NA,NA
"RT @RahulGandhi: When we all work together in perfect harmony, there is nothing we cannot accomplish. 

#BharatJodoYatra https://t.co/31fW5…",FALSE,0,NA,2022-09-19 16:59:03,FALSE,NA,"1571906727527976965",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","arun48737267",6689,TRUE,FALSE,NA,NA
"RT @bharatjodo: Every stride we take together is a step for a brighter India! 

#BharatJodoYatra https://t.co/DsGYTsAGxK",FALSE,0,NA,2022-09-19 16:59:03,FALSE,NA,"1571906727477678081",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yuvrajpatil01",728,TRUE,FALSE,NA,NA
"RT @Jairam_Ramesh: Bharat Yatris walked 22 kms today and the Yatra has covered 255 kms so far. The night halt is at Cherthala, the hometown…",FALSE,0,NA,2022-09-19 16:59:02,FALSE,NA,"1571906726923993093",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JeetBha69996241",441,TRUE,FALSE,NA,NA
"RT @nitinagarwalINC: So cute! 😍

#BharatJodoYatra https://t.co/bEMMRTP0Oo",FALSE,0,NA,2022-09-19 16:58:58,FALSE,NA,"1571906708955607041",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","anjilikkan",408,TRUE,FALSE,NA,NA
"RT @INCIndia: Yatris and leaders from across the country march on, alongside Shri @RahulGandhi, to free India from the shackles of unemploy…",FALSE,0,NA,2022-09-19 16:58:58,FALSE,NA,"1571906706485186561",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Gyasuddin_INC",619,TRUE,FALSE,NA,NA
"RT @NSUIJharkhand: Alappuzha, known as the 'Venice of East' is a water paradise. This hub of Kerala's backwaters provides for great travel…",FALSE,0,NA,2022-09-19 16:58:57,FALSE,NA,"1571906705956704256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bajrangkushwa12",2,TRUE,FALSE,NA,NA
"RT @bharatjodo: #BharatJodoYatra

Fuelled by the love and energy of our people. https://t.co/S8UpqiUhFH",FALSE,0,NA,2022-09-19 16:58:57,FALSE,NA,"1571906703666597891",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","arunkri89681890",1370,TRUE,FALSE,NA,NA
"RT @RahulGandhi: When we all work together in perfect harmony, there is nothing we cannot accomplish. 

#BharatJodoYatra https://t.co/31fW5…",FALSE,0,NA,2022-09-19 16:58:56,FALSE,NA,"1571906699212247045",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Gyasuddin_INC",6689,TRUE,FALSE,NA,NA
"RT @TheNewIndian_in: Video: Congress leader @RahulGandhi participates in a boat race in Alappuzha, Kerala 

@Anand_Journ #BharatJodoYatra h…",FALSE,0,NA,2022-09-19 16:58:55,FALSE,NA,"1571906695483518982",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ridhima_Raj_",251,TRUE,FALSE,NA,NA
"RT @bharatjodo: Different strokes, one vision - The idea of India. 

@RahulGandhi takes part in the traditional snake boat race of Kerala.…",FALSE,0,NA,2022-09-19 16:58:55,FALSE,NA,"1571906693801611269",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AmitDub16516714",65,TRUE,FALSE,NA,NA
"RT @Jairam_Ramesh: Bharat Yatris walked 22 kms today and the Yatra has covered 255 kms so far. The night halt is at Cherthala, the hometown…",FALSE,0,NA,2022-09-19 16:58:55,FALSE,NA,"1571906693503782913",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Imranberi786",441,TRUE,FALSE,NA,NA
"RT @RahulGandhi: When we all work together in perfect harmony, there is nothing we cannot accomplish. 

#BharatJodoYatra https://t.co/31fW5…",FALSE,0,NA,2022-09-19 16:58:53,FALSE,NA,"1571906688768409611",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AJAYKUMARDHONI4",6689,TRUE,FALSE,NA,NA
"RT @bharatjodo: All the cheerleading we need!

#BharatJodoYatra https://t.co/P1RfEz4d8q",FALSE,0,NA,2022-09-19 16:58:53,FALSE,NA,"1571906686587392001",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","VermaSomy",2563,TRUE,FALSE,NA,NA
"RT @SevadalS24: India will ride the rough sea of hatred, unemployment and price rise.
We stay united, we stay anchored. 

#BharatJodoYatra…",FALSE,0,NA,2022-09-19 16:58:53,FALSE,NA,"1571906685844979713",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MDKareemWadi",25,TRUE,FALSE,NA,NA
"RT @NSUIJharkhand: India will ride the rough sea of hatred, unemployment and price rise.
We stay united, we stay anchored. 

#BharatJodoYat…",FALSE,0,NA,2022-09-19 16:58:52,FALSE,NA,"1571906684804796419",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bajrangkushwa12",2,TRUE,FALSE,NA,NA
"RT @RahulGandhi: When we all work together in perfect harmony, there is nothing we cannot accomplish. 

#BharatJodoYatra https://t.co/31fW5…",FALSE,0,NA,2022-09-19 16:58:52,FALSE,NA,"1571906682267242497",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RAGHURAM_INC",6689,TRUE,FALSE,NA,NA
"RT @INCIndia: Yatris and leaders from across the country march on, alongside Shri @RahulGandhi, to free India from the shackles of unemploy…",FALSE,0,NA,2022-09-19 16:58:51,FALSE,NA,"1571906679167676416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Rajkuma79154535",619,TRUE,FALSE,NA,NA
"RT @SurrbhiM: Congress party to host Twitter space on #BharatJodoYatra  today on its official handle.

Join tonight at 9 pm . https://t.co/…",FALSE,0,NA,2022-09-19 16:58:51,FALSE,NA,"1571906678857007106",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","anjilikkan",5,TRUE,FALSE,NA,NA
"RT @meenakandasamy: The cutest video of the day from #BharatJodoYatra. Read more here on this blog where I came across this https://t.co/Zc…",FALSE,0,NA,2022-09-19 16:58:51,FALSE,NA,"1571906677070348289",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Praveenstories",10,TRUE,FALSE,NA,NA
"RT @Jairam_Ramesh: Bharat Yatris walked 22 kms today and the Yatra has covered 255 kms so far. The night halt is at Cherthala, the hometown…",FALSE,0,NA,2022-09-19 16:58:49,FALSE,NA,"1571906670112174080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NaidGorle",441,TRUE,FALSE,NA,NA
"RT @kcvenugopalmp: Alleppey, the Venice of the East, is always dear to my heart. When @RahulGandhi stepped into a snake boat in the picture…",FALSE,0,NA,2022-09-19 16:58:49,FALSE,NA,"1571906669340393473",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SanghiKeDaddy",291,TRUE,FALSE,NA,NA
"RT @RahulGandhi: When we all work together in perfect harmony, there is nothing we cannot accomplish. 

#BharatJodoYatra https://t.co/31fW5…",FALSE,0,NA,2022-09-19 16:58:48,FALSE,NA,"1571906668191166466",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DilipSaraf16",6689,TRUE,FALSE,NA,NA
"RT @bharatjodo: Different strokes, one vision - The idea of India. 

@RahulGandhi takes part in the traditional snake boat race of Kerala.…",FALSE,0,NA,2022-09-19 16:58:48,FALSE,NA,"1571906667390078976",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KhvaSharma",65,TRUE,FALSE,NA,NA
"RT @nitinagarwalINC: #BharatJodoYatra resumes from Punapra village in Allapuzha. https://t.co/c59hpPwD2F",FALSE,0,NA,2022-09-19 16:58:46,FALSE,NA,"1571906659508944896",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JUNEEDca",292,TRUE,FALSE,NA,NA
"RT @nitinagarwalINC: So cute! 😍

#BharatJodoYatra https://t.co/bEMMRTP0Oo",FALSE,0,NA,2022-09-19 16:58:46,FALSE,NA,"1571906658342961154",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chetansoniji",408,TRUE,FALSE,NA,NA
