"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶",FALSE,0,NA,2017-08-02 14:25:07,FALSE,NA,"892753128721973250",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","cuellarrhics",708,TRUE,FALSE,NA,NA
"2","RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶",FALSE,0,NA,2017-08-02 14:25:04,FALSE,NA,"892753116235476992",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","OregonOHPoilec",708,TRUE,FALSE,NA,NA
"3","RT @stockpicklist: $NBDR is making moves toward #triple #digit #gains Make your move #today #StockMarket #paid $psid $aapl $fb $aghi $ottv‚Ä¶",FALSE,0,NA,2017-08-02 14:25:03,FALSE,NA,"892753112422907904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SmallCpAnalyst",2,TRUE,FALSE,NA,NA
"4","RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶",FALSE,0,NA,2017-08-02 14:25:00,FALSE,NA,"892753102662774784",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","WidditmSaa",708,TRUE,FALSE,NA,NA
"5","RT @TDAJJKinahan: With $AAPL behind us, focus turns to TSLA, with hopes of more insight into the company‚Äôs delivery schedule. https://t.co/‚Ä¶",FALSE,0,NA,2017-08-02 14:24:56,FALSE,NA,"892753085470310400",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","willyvero",2,TRUE,FALSE,NA,NA
"6","$AAPL Im still waiting.",FALSE,0,NA,2017-08-02 14:24:54,FALSE,NA,"892753077362728960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TraderMichigan",0,FALSE,FALSE,NA,NA
"7","WE're IN $AAPL puts this am
I like the after earnings play.. https://t.co/yP6E6mvesN",FALSE,0,NA,2017-08-02 14:24:52,FALSE,NA,"892753067505893376",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PipsToDollars",0,FALSE,FALSE,NA,NA
"8","$AAPL Holding $156.68 targets $168.53. Otherwise my annual pivot of $151.69 remains magnet. https://t.co/hEp3jActtC https://t.co/0H719ITYsf",FALSE,0,NA,2017-08-02 14:24:47,FALSE,NA,"892753048359063556",NA,"<a href=""http://stocktwits.com"" rel=""nofollow"">StockTwits Web</a>","Suttmeier",0,FALSE,FALSE,NA,NA
"9","RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶",FALSE,0,NA,2017-08-02 14:24:45,FALSE,NA,"892753039349731332",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","XT_kUINN",703,TRUE,FALSE,NA,NA
"10","RT @stockpicklist: $NBDR is making moves toward #triple #digit #gains Make your move #today #StockMarket #paid $psid $aapl $fb $aghi $ottv‚Ä¶",FALSE,0,NA,2017-08-02 14:24:40,FALSE,NA,"892753016117489665",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Wallstreetnsidr",1,TRUE,FALSE,NA,NA
"11","Imagine if $AAPL threw its weight behind blockchain Ì†æÌ¥ì",FALSE,0,NA,2017-08-02 14:24:38,FALSE,NA,"892753006751604736",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","wboscoho",0,FALSE,FALSE,NA,NA
